Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,7,5,M:System.Web.Http.RoutePrefixAttribute.#ctor(System.String),,,,,"RoutePrefix(""api/clientes"")"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,7,5,T:System.Web.Http.RoutePrefixAttribute,,,,,"RoutePrefix(""api/clientes"")"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,76,53,M:System.Web.Http.FromBodyAttribute.#ctor,,,,,FromBody
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,76,53,T:System.Web.Http.FromBodyAttribute,,,,,FromBody
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,75,9,M:System.Web.Http.RouteAttribute.#ctor(System.String),,,,,"Route("""")"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,75,9,T:System.Web.Http.RouteAttribute,,,,,"Route("""")"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,74,9,M:System.Web.Http.HttpPostAttribute.#ctor,,,,,HttpPost
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,74,9,T:System.Web.Http.HttpPostAttribute,,,,,HttpPost
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,64,9,M:System.Web.Http.RouteAttribute.#ctor(System.String),,,,,"Route(""{id:long}"")"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,64,9,T:System.Web.Http.RouteAttribute,,,,,"Route(""{id:long}"")"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,63,9,M:System.Web.Http.HttpDeleteAttribute.#ctor,,,,,HttpDelete
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,63,9,T:System.Web.Http.HttpDeleteAttribute,,,,,HttpDelete
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,71,12,T:System.Web.Http.Results.NotFoundResult,,,,,return NotFound();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,71,12,M:System.Web.Http.ApiController.NotFound,,,,,return NotFound();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,69,16,T:System.Web.Http.Results.OkResult,,,,,return Ok();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,69,16,M:System.Web.Http.ApiController.Ok,,,,,return Ok();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,56,9,M:System.Web.Http.RouteAttribute.#ctor(System.String),,,,,"Route(""contar"")"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,56,9,T:System.Web.Http.RouteAttribute,,,,,"Route(""contar"")"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,55,9,M:System.Web.Http.HttpGetAttribute.#ctor,,,,,HttpGet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,55,9,T:System.Web.Http.HttpGetAttribute,,,,,HttpGet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,45,60,M:System.Web.Http.FromUriAttribute.#ctor,,,,,FromUri
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,45,60,T:System.Web.Http.FromUriAttribute,,,,,FromUri
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,44,9,M:System.Web.Http.RouteAttribute.#ctor(System.String),,,,,"Route("""")"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,44,9,T:System.Web.Http.RouteAttribute,,,,,"Route("""")"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,43,9,M:System.Web.Http.HttpGetAttribute.#ctor,,,,,HttpGet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,43,9,T:System.Web.Http.HttpGetAttribute,,,,,HttpGet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,50,16,T:System.Web.Http.Results.NotFoundResult,,,,,return NotFound();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,50,16,M:System.Web.Http.ApiController.NotFound,,,,,return NotFound();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Clientes.WebApi\Clientes.WebApi.csproj,File,Clientes.WebApi\Controllers\ClientesController.cs,32,9,M:System.Web.Http.RouteAttribute.#ctor(System.String),,,,,"Route(""{id:long}"")"
